Song Name,Artist,NOV Lower (M),NOV Higher (M),Real View (M),Percent Real Views,matches
Dangerous,TEMPEST,1.0,7.0,9.2,90.2,False
Perfume,NCT,5.0,11.7,11.2,69.0,False
Predator,Gikwang,4.0,8.5,7.6,65.4,False
KNOCK,Lee,4.0,4.0,7.0,51.9,False
I AM,IVE,17.5,28.8,32.3,64.8,False
Without You,KARD,0.5,4.6,7.1,93.5,True
Giddy,Kep1er,0.5,0.5,6.1,31.9,False
D N D,Apink,0.5,0.5,5.1,29.7,False
Dawn,Kim,4.0,8.0,6.3,100.0,False
Tricky House,xikers,4.0,4.0,9.9,45.3,False
Sour & Sweet,Bambam,4.0,4.0,13.3,32.6,False
EUNOIA,Billlie,4.0,4.0,10.5,43.7,False
Kitsch,IVE,33.5,43.0,19.6,36.9,False
Drowning,Bobby,3.0,7.0,6.3,100.0,False
Love Me Like This,Nmixx,3.0,3.0,16.3,31.5,False
Spring Breeze,Kim,4.5,8.5,6.1,57.5,True
Set Me Free Pt.2,Jimin,1.5,17.5,62.5,97.7,False
NEW DAYZ,TRENDZ,4.0,8.0,6.2,60.6,False
Rover,Kai,4.0,4.0,19.5,78.0,False
"Young, Dumb, Stupid",Nmixx,4.0,4.0,17.2,48.9,False
SET ME FREE,Twice,4.0,4.0,36.6,61.9,True
Expectations,Minnie,1.0,5.0,8.6,89.6,False
Without U,Yuju,1.0,1.0,4.4,35.7,True
O (Circle),Onew,1.0,5.0,5.2,83.9,False
Groovy,CRAVITY,2.5,6.5,7.6,75.2,False
Top Tier,Woojin,4.0,8.0,5.6,100.0,False
Devil by the Window,TXT,2.0,10.0,13.9,87.4,False
Thrill,E'LAST,4.0,8.0,5.6,100.0,False
ROAR,The,4.0,4.0,10.8,33.5,False
Love or Die,TNX,4.0,8.0,10.5,72.3,False
MBTI,JUST,3.5,7.5,5.1,100.0,False
Teddy Bear,StayC,3.5,3.5,18.2,41.6,False
WE ARE YOUNG,Tri.be,3.5,3.5,10.3,44.1,False
Rising,tripleS,3.5,3.5,10.8,62.3,False
Best Friend Ever,NCT,7.0,11.0,16.3,100.0,False
Fighting,BSS,7.0,7.0,21.6,68.4,False
TIC TAC,8TURN,1.5,5.5,6.7,81.7,False
AyYo,,1.5,1.5,13.1,57.9,False
Sugar Rush Ride,TXT,1.5,1.5,53.3,48.6,False
MOONLIGHT SUNRISE,Twice,1.5,1.5,60.4,74.2,False
AURORA,cignature,2.5,6.5,7.9,75.9,False
REASON,Dreamcatcher,2.5,2.5,9.8,31.9,False
VIBE,TAEYANG,2.5,2.5,81.7,81.5,False
Beautiful Liar,MONSTA,2.5,2.5,10.3,45.3,True
Puzzle,SF9,3.0,7.0,9.1,75.3,True
Rose Blossom,H1KEY,2.0,10.0,10.3,83.7,False
Madness,Moonbin,4.0,8.0,8.8,68.8,False
HALAZIA,ATEEZ,4.0,4.0,17.2,43.3,False
Candy,NCT,4.0,4.0,28.4,74.0,True
Chase,Minho,2.0,6.0,5.2,100.0,False
All About You,The,1.5,9.5,9.0,85.7,False
Blade,BIBI,2.0,6.0,9.0,81.8,False
Cheshire,ITZY,2.0,2.0,59.1,48.4,False
Back Down,P1Harmony,3.0,7.0,9.3,75.7,False
Birthday,Red,3.0,3.0,17.2,53.5,True
Nirvana,Kang,2.0,6.0,9.4,82.5,False
Freeze Tag,TO1,3.0,7.0,9.0,74.9,False
Dragon,TEMPEST,4.5,12.5,9.8,68.6,False
Forgive Me,BoA,3.0,7.0,7.2,100.0,False
Rollercoaster,woo!ah!,0.5,4.5,5.7,92.0,False
ME= (NANEUN),Just,4.5,8.5,10.2,100.0,False
Virus,Victon,0.5,4.5,11.1,95.7,False
The One,Drippin,2.5,6.5,7.2,100.0,True
Selfish,Yooa,2.5,2.5,10.5,42.0,False
Tap Tap,Verivery,2.5,2.5,4.8,44.6,False
Hair Cut,Xdinary,4.0,12.0,10.9,73.1,False
Back in Vogue,AleXa,4.0,4.0,5.5,42.5,False
Journey for Myself,Jeong,4.0,8.0,4.7,53.8,False
The Hare,J.Fla,2.0,6.0,4.7,70.3,False
VAGABOND,TRENDZ,4.5,8.5,6.3,58.2,False
VolKno,Treasure,4.5,4.5,10.3,47.3,False
Young Boy,Nine.I,10.0,14.0,12.5,100.0,False
Alone,Highlight,7.5,15.5,10.8,59.1,True
Lay Low,Yooa,1.0,5.0,5.6,84.8,False
Melody,Yooa,3.5,7.5,6.1,100.0,False
Bad Cupid,Younite,1.0,5.0,17.1,94.5,False
Generation,tripleS,14.5,26.5,17.5,54.6,False
ATTITUDE,ATBO,14.5,14.5,8.8,34.9,False
ZEALOUS,CLASS:y,1.5,5.5,6.5,100.0,False
Tick Tick Boom,CLASS:y,2.0,6.0,12.5,100.0,False
Loveable,Jo,2.5,6.5,9.4,79.0,False
Youth,Kihyun,1.0,5.0,8.7,89.7,False
Spray,WEi,3.5,7.5,7.4,67.8,False
DOMESTIC,Rain,2.0,6.0,6.3,100.0,False
Nxde,(G)Idle,2.0,2.0,156.3,77.4,False
ANTIFRAGILE,LE,2.0,2.0,135.6,89.4,False
Don't Regret,Wonho,1.5,5.5,5.1,77.1,False
We Fresh,Kep1er,1.5,1.5,13.2,53.5,False
NITRO,Park,3.0,7.0,5.1,100.0,False
Underwater,Kwon,3.5,7.5,10.6,100.0,False
Hush Rush,Lee,3.5,3.5,8.5,51.6,False
ILLELLA,Mamamoo,3.5,3.5,24.2,82.9,False
VISION,Dreamcatcher,3.5,3.5,16.0,69.5,False
CASE 143,Stray,3.5,3.5,82.0,77.3,False
Sour,The,2.5,6.5,9.1,78.4,False
UhHeung,,2.5,2.5,4.6,33.8,False
Long Live the King,Kingdom,3.5,7.5,6.9,66.4,False
28 Reasons,Seulgi,5.0,13.0,18.6,78.9,False
HELLO,Treasure,5.0,5.0,53.9,78.8,False
Sugarcoat,AB6IX,1.5,9.5,12.6,89.4,False
Drip N' Drop,Mirae,3.5,7.5,7.0,66.8,False
Animal Farm,BIBI,1.5,5.5,5.9,100.0,False
PARTY ROCK,CRAVITY,2.5,10.5,9.9,79.8,False
Brand New,Xiumin,2.0,6.0,6.6,76.7,True
Rush Hour,Crush,5.0,17.0,41.5,89.3,False
DICE,Nmixx,5.0,5.0,58.6,64.3,False
Shut Down,Blackpink,1.0,17.0,413.1,99.8,False
Childhood,The,2.5,6.5,5.9,100.0,False
2 Baddies,NCT,2.5,2.5,32.1,34.5,False
Blue,Jackson,2.5,2.5,12.3,48.7,True
Same Scent,Oneus,2.5,2.5,14.2,47.8,False
SEXY NUKIM,Balming,0.5,4.5,14.4,96.6,False
RING ma Bell,Billlie,0.5,0.5,16.4,59.9,False
Gasoline,Key,1.0,5.0,12.2,92.4,True
Can’t Stop Shining,TEMPEST,5.0,13.0,10.0,66.7,False
FLASH,Rocket,1.5,5.5,5.4,100.0,False
Talk that Talk,Twice,1.5,1.5,126.8,85.8,False
24/7,DKB,2.0,6.0,13.7,100.0,False
Fuego (Burn it up),Blank2y,6.0,14.0,9.2,60.6,False
Losing Game,Leo,1.5,5.5,8.3,84.6,False
After LIKE,IVE,1.5,1.5,160.9,81.9,False
458,CIX,0.5,4.5,23.1,97.9,False
Engine,Luminous,3.5,11.5,8.1,69.7,False
Whisper,The,3.5,3.5,8.4,21.9,True
Your Song,ONF,3.5,3.5,9.3,40.7,False
Grey,Rocking,4.0,8.0,11.4,100.0,False
Kiss,Tri.be,4.0,4.0,15.7,54.7,False
Replay,Golden,2.0,10.0,9.5,82.7,True
Timeless,The,4.0,8.0,5.0,55.4,True
SMARTPHONE,YENA,8.5,16.5,11.7,58.0,False
Wing Wing,Kep1er,2.0,6.0,19.5,100.0,False
Freaky,Mirani,9.5,13.5,11.3,100.0,False
Guerrilla,ATEEZ,9.5,9.5,20.9,61.6,False
Ready For Love,Blackpink,9.5,9.5,48.8,61.2,False
Drummin',TO1,3.5,7.5,7.3,67.7,False
Evening,Yuju,1.5,5.5,6.1,80.3,False
Monochrome (Color),ATBO,1.5,1.5,7.1,33.6,False
Walking on the Moon,TAN,4.5,8.5,5.2,100.0,False
Nerdy,Purple,3.5,11.5,11.3,76.3,False
Stand Up!,Omega,5.0,9.0,5.4,100.0,False
Hit The Bass,Blitzers,2.0,10.0,8.4,80.7,False
Beautiful Monster,StayC,2.0,2.0,20.4,48.1,False
_WORLD,Seventeen,2.0,2.0,45.5,68.4,False
Sneakers,ITZY,2.0,2.0,78.4,59.2,False
Patbingsu,Billlie,0.5,4.5,4.8,90.5,False
Mango,Super,0.5,8.5,17.9,97.3,False
Copycat,Apink,7.0,15.0,11.2,61.5,False
CLAP CLAP,NiziU,4.0,12.0,20.5,83.7,False
Sparkling,Chung,4.0,4.0,13.4,52.8,False
Girls,Aespa,4.0,4.0,72.9,58.4,False
#MOOD,MCND,1.5,5.5,9.3,86.1,False
RUN,H1KEY,4.0,8.0,10.2,71.8,False
WANNA KNOW,IRRIS,0.5,4.5,13.4,96.4,False
Last Sequence,WJSN,1.0,5.0,9.7,90.7,False
I LOVE U,Winner,6.5,14.5,14.4,68.9,False
When the sun goes down,TFN,2.5,6.5,5.5,100.0,False
MORE,JHope,1.0,5.0,67.1,98.5,False
Heart Burn,Sunmi,1.0,1.0,23.6,42.5,False
Stay This Way,Fromis,1.0,1.0,14.4,65.8,False
BOOM,Huta,0.5,4.5,12.9,96.3,False
POP!,Nayeon,0.5,0.5,156.9,86.3,False
Life's Too Short,Aespa,0.5,0.5,30.7,55.6,False
Ring The Alarm,KARD,0.5,0.5,18.8,50.5,False
Up!,Kep1er,0.5,0.5,29.7,67.9,False
Flip That,LOONA,0.5,0.5,13.8,35.6,False
Hit Ya!,LAPILLUS,4.0,8.0,7.8,66.1,False
ZERO,Drippin,7.0,11.0,10.7,100.0,False
PLAY DUMB,Omega,8.0,16.0,10.1,55.8,False
POP,bugAboo,3.0,11.0,10.6,77.9,False
Yet To Come,BTS,2.0,6.0,183.5,98.9,False
Danger,woo!ah!,2.5,6.5,8.4,77.1,True
Doomchita,Secret,4.5,8.5,17.7,100.0,False
Parade,Kang,1.5,5.5,7.0,82.4,True
WHO,TRENDZ,4.0,8.0,5.1,100.0,False
Today's Weather,Dongwoon,6.5,10.5,6.9,100.0,False
Love Shhh!,Jo,3.5,7.5,10.7,75.3,False
Stupid O'clock,Victon,7.0,15.0,10.8,60.6,False
Beatbox,NCT,7.0,7.0,49.5,62.3,False
HOT,Seventeen,7.0,7.0,92.7,80.5,False
ALIVE,Lightsum,7.0,7.0,15.2,68.4,False
Upside Down,Kang,7.0,7.0,13.9,59.4,True
Thumbs Up,Blank2y,0.5,4.5,12.9,96.3,True
NANANA,GOT7,5.0,13.0,40.8,89.1,True
She's the Boss,The,1.5,5.5,8.1,84.4,False
SAVIOR,AB6IX,3.0,7.0,9.5,75.9,False
Bring it on,Oneus,3.0,3.0,18.1,68.0,False
MOVE,TNX,2.0,6.0,14.9,88.2,False
Candy Sugar Pop,ASTRO,2.0,2.0,27.6,66.4,False
Chuck,CL,2.0,2.0,6.5,56.4,False
Roller Coaster,Jeong,2.5,6.5,5.1,100.0,True
Fame,Ciipher,3.0,7.0,11.7,100.0,False
I hate you,Woodz,3.5,7.5,11.5,76.7,False
BUT YOU,iKON,5.0,9.0,20.3,100.0,False
Celeb,PSY,4.5,8.5,22.4,100.0,False
Invitation,MeloMance,2.5,6.5,8.9,100.0,False
FEARLESS,LE,2.5,2.5,116.9,77.0,False
That That,PSY,2.5,2.5,399.7,93.0,False
C.I.T.T (Cheese in the Trap),Moonbyul,1.0,5.0,8.1,89.0,False
Sober,DKB,1.0,1.0,11.9,66.4,True
Drive,Miyeon,3.0,7.0,14.0,82.3,True
Creature,E'LAST,6.0,10.0,11.0,100.0,False
LOVE,MONSTA,6.0,6.0,14.8,47.3,False
Undercover,Verivery,4.0,8.0,9.2,69.6,True
1 of 9,Younite,8.0,12.0,10.7,100.0,False
Darl+ing,Seventeen,8.0,8.0,28.9,76.3,False
RE=LOAD,Just,1.5,5.5,9.0,85.8,False
ZOOM,Jessi,8.5,12.5,166.9,100.0,False
MAISON,Dreamcatcher,8.0,16.0,19.4,70.8,False
ASOBO,NiziU,4.0,8.0,22.0,84.6,False
Anthem of Teen Spirit,Epex,5.0,13.0,19.8,79.8,False
LOVE DIVE,IVE,5.0,5.0,190.8,92.3,False
Love in Bloom,ILY:1,4.0,8.0,6.1,100.0,False
Glitch,Kwon,2.0,6.0,14.0,87.5,False
Still Life,BIGBANG,4.0,8.0,81.9,100.0,False
Blow,Jackson,6.0,14.0,27.1,81.9,True
memeM,Purple,6.0,6.0,8.0,61.5,False
Real Love,Oh,6.0,6.0,10.0,55.5,False
Glitch Mode,NCT,6.0,6.0,42.8,51.7,False
O,Verivery,3.0,7.0,8.6,74.2,False
Adrenaline,CRAVITY,6.0,10.0,12.7,100.0,True
MANIAC,Stray,6.0,6.0,156.1,88.6,False
HONEY,Solar,2.0,6.0,21.0,91.3,False
Too Bad,WEi,0.5,4.5,13.9,96.5,False
WHO,Moonbin,7.0,11.0,16.7,100.0,False
Again,NU'EST,2.5,6.5,12.7,83.5,True
Voyager,Kihyun,2.0,6.0,9.9,83.2,False
BORN TO LOVE YOU,Kang,1.5,5.5,10.7,87.7,False
TOMBOY,(G)Idle,1.5,1.5,183.3,81.7,False
Thank You,Brave,1.5,1.5,7.5,16.8,True
Ven para,Weeekly,1.5,1.5,12.9,48.8,False
Bad News,TEMPEST,1.5,1.5,13.0,68.5,False
Chiquita,Rocket,3.5,7.5,7.0,66.8,False
GingaMingaYo (The Strange World),Billlie,3.5,3.5,23.0,76.7,False
O.O,Nmixx,3.5,3.5,75.1,74.3,False
RUN2U,StayC,3.5,3.5,43.7,70.8,False
The Song,BTOB,8.0,16.0,16.8,67.7,False
JIKJIN,Treasure,10.0,22.0,108.8,91.6,False
Dilemma,Apink,10.0,10.0,14.0,65.1,True
Heart Rider,Rocking,2.0,10.0,8.7,81.3,False
BOP BOP!,VIVIZ,2.0,2.0,13.5,73.0,False
WINNER,Ravi,4.5,8.5,6.2,100.0,False
Beautiful (Part.3),Wanna,3.5,7.5,10.1,74.2,False
Feelin' Like,PENTAGON,3.5,3.5,14.6,44.9,False
All eyes down,Luminous,3.5,3.5,6.4,56.1,False
Slow Mo,Bambam,10.0,22.0,42.9,81.1,False
Chronograph,Victon,1.5,5.5,17.2,100.0,False
Villain,Drippin,8.5,12.5,12.1,100.0,True
SMILEY,YENA,5.0,13.0,23.4,82.4,False
DM,Fromis,5.0,5.0,23.1,69.8,False
"1, 2, 3",AB6IX,8.0,12.0,10.5,100.0,False
Make Me Happy,WheeIn,8.0,8.0,11.5,69.6,False
Yummy Yummy Love (Natti Natasha),Momoland,2.5,6.5,36.3,93.6,False
Devil,Max,3.0,7.0,11.0,78.6,True
Marvelous,Mirae,3.0,3.0,13.1,68.6,False
Maniac,Max,2.0,6.0,7.7,79.5,False
DESSERT,Kim,2.0,6.0,7.2,78.3,False
LOVE ME LIKE,Omega,2.5,6.5,17.7,87.6,False
ATHLETIC GIRL,H1KEY,4.0,8.0,12.0,100.0,False
Bobbin,Blitzers,6.5,10.5,7.7,100.0,False
Wa Da Da,Kep1er,6.5,6.5,139.7,90.3,False
Who Are You,Bambam,6.5,6.5,19.7,50.9,False
Anymore,Somi,6.5,6.5,30.6,71.8,False
Heartbreak,Minho,3.0,7.0,10.4,100.0,False
Dreams Come True,Aespa,3.0,3.0,80.5,81.7,True
